platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	7.0.1	863	2016-12-21 
2	主APP	ios	7.0.2	569	2016-12-21 
2	主APP	ios	7.1.0	985	2016-12-21 
2	主APP	ios	7.2.0	905	2016-12-21 
2	主APP	ios	7.5.0	570	2016-12-21 
2	主APP	ios	7.5.1	1961	2016-12-21 
2	主APP	ios	7.5.3	2	2016-12-21 
2	主APP	ios	7.6.0	3594	2016-12-21 
2	主APP	ios	7.7.0	974	2016-12-21 
2	主APP	ios	7.8.0	1187	2016-12-21 
2	主APP	ios	7.8.1	879	2016-12-21 
2	主APP	ios	7.8.2	3512	2016-12-21 
2	主APP	ios	7.9.0	10235	2016-12-21 
2	主APP	ios	7.9.2	15814	2016-12-21 
2	主APP	ios	7.9.4	9049	2016-12-21 
2	主APP	ios	7.9.6	9460	2016-12-21 
2	主APP	ios	7.9.8	10743	2016-12-21 
2	主APP	ios	8.0.0	6221	2016-12-21 
2	主APP	ios	8.0.1	10434	2016-12-21 
2	主APP	ios	8.0.2	9091	2016-12-21 
2	主APP	ios	8.0.4	7933	2016-12-21 
2	主APP	ios	8.0.5	18895	2016-12-21 
2	主APP	ios	8.0.6	14202	2016-12-21 
2	主APP	ios	8.0.8	24571	2016-12-21 
2	主APP	ios	8.1.0	30905	2016-12-21 
2	主APP	ios	8.1.2	51080	2016-12-21 
2	主APP	ios	8.1.4	46748	2016-12-21 
2	主APP	ios	8.1.6	43445	2016-12-21 
2	主APP	ios	9.0.0	10824	2016-12-21 
2	主APP	ios	9.0.1	164258	2016-12-21 
2	主APP	ios	9.0.2	194478	2016-12-21 
2	主APP	ios	9.0.4	103297	2016-12-21 
2	主APP	ios	9.0.6	284476	2016-12-21 
2	主APP	ios	9.0.8	748972	2016-12-21 
2	主APP	ios	9.1.0	3127714	2016-12-21 
2	主APP	ios	9.1.2	72	2016-12-21 
2	主APP	ios	9.9.9	0	2016-12-21 
2	主APP	ios	1.0.0	0	2016-12-23 
2	主APP	ios	1.0.1	0	2016-12-23 
2	主APP	ios	1.0.3	0	2016-12-23 
2	主APP	ios	1.1.0	43	2016-12-23 
2	主APP	ios	2.2.0	0	2016-12-23 
2	主APP	ios	3.0.0	0	2016-12-23 
2	主APP	ios	3.1.0	0	2016-12-23 
2	主APP	ios	3.1.1	0	2016-12-23 
2	主APP	ios	4.0.0	1	2016-12-23 
2	主APP	ios	4.1.0	1	2016-12-23 
