platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	9.1.8	2	2017-02-18
2	主APP	ios	1.0.0	1	2017-02-22
2	主APP	ios	1.0.1	0	2017-02-22
2	主APP	ios	1.0.3	1	2017-02-22
2	主APP	ios	1.1.0	68	2017-02-22
2	主APP	ios	2.2.0	1	2017-02-22
2	主APP	ios	3.0.0	0	2017-02-22
2	主APP	ios	3.1.0	0	2017-02-22
2	主APP	ios	3.1.1	1	2017-02-22
2	主APP	ios	4.0.0	1	2017-02-22
2	主APP	ios	4.1.0	0	2017-02-22
2	主APP	ios	4.1.2	2	2017-02-22
2	主APP	ios	4.2.0	1	2017-02-22
2	主APP	ios	4.3.0	1	2017-02-22
2	主APP	ios	4.4.0	0	2017-02-22
2	主APP	ios	4.5.0	2	2017-02-22
2	主APP	ios	4.6.0	1	2017-02-22
2	主APP	ios	4.6.1	3	2017-02-22
2	主APP	ios	4.7.0	1	2017-02-22
2	主APP	ios	4.7.1	0	2017-02-22
2	主APP	ios	4.8.0	0	2017-02-22
2	主APP	ios	4.8.1	1	2017-02-22
2	主APP	ios	4.8.2	2	2017-02-22
2	主APP	ios	4.9.0	2	2017-02-22
2	主APP	ios	4.9.10	0	2017-02-22
2	主APP	ios	4.9.11	0	2017-02-22
2	主APP	ios	4.9.12	0	2017-02-22
2	主APP	ios	4.9.9	0	2017-02-22
2	主APP	ios	5.0.0	1	2017-02-22
2	主APP	ios	5.1.0	3	2017-02-22
2	主APP	ios	5.2.0	1	2017-02-22
2	主APP	ios	5.2.1	0	2017-02-22
2	主APP	ios	5.3.0	0	2017-02-22
2	主APP	ios	5.3.1	5	2017-02-22
2	主APP	ios	5.4.0	5	2017-02-22
2	主APP	ios	5.4.5	7	2017-02-22
2	主APP	ios	5.5.0	0	2017-02-22
2	主APP	ios	5.5.1	5	2017-02-22
2	主APP	ios	5.6.0	5	2017-02-22
2	主APP	ios	5.7.0	9	2017-02-22
2	主APP	ios	5.8.1	3	2017-02-22
2	主APP	ios	5.8.2	5	2017-02-22
2	主APP	ios	5.9.0	9	2017-02-22
2	主APP	ios	5.9.5	8	2017-02-22
2	主APP	ios	6.0.0	0	2017-02-22
2	主APP	ios	6.0.1	18	2017-02-22
2	主APP	ios	6.0.2	2	2017-02-22
2	主APP	ios	6.1.0	17	2017-02-22
2	主APP	ios	6.2.0	8	2017-02-22
2	主APP	ios	6.2.1	21	2017-02-22
2	主APP	ios	6.3.0	40	2017-02-22
2	主APP	ios	6.4.0	26	2017-02-22
2	主APP	ios	6.4.1	16	2017-02-22
2	主APP	ios	6.5.0	20	2017-02-22
2	主APP	ios	6.5.1	33	2017-02-22
2	主APP	ios	6.6.0	35	2017-02-22
2	主APP	ios	6.6.5	54	2017-02-22
2	主APP	ios	6.7.0	30	2017-02-22
2	主APP	ios	6.7.5	47	2017-02-22
2	主APP	ios	6.8.0	38	2017-02-22
2	主APP	ios	6.8.5	170	2017-02-22
2	主APP	ios	6.9.0	116	2017-02-22
2	主APP	ios	6.9.5	284	2017-02-22
2	主APP	ios	6.9.7	154	2017-02-22
2	主APP	ios	6.9.8	160	2017-02-22
2	主APP	ios	7.0.0	96	2017-02-22
2	主APP	ios	7.0.1	412	2017-02-22
2	主APP	ios	7.0.2	250	2017-02-22
2	主APP	ios	7.1.0	444	2017-02-22
2	主APP	ios	7.2.0	433	2017-02-22
2	主APP	ios	7.5.0	380	2017-02-22
2	主APP	ios	7.5.1	1226	2017-02-22
2	主APP	ios	7.5.3	0	2017-02-22
2	主APP	ios	7.6.0	2306	2017-02-22
2	主APP	ios	7.7.0	718	2017-02-22
2	主APP	ios	7.8.0	752	2017-02-22
2	主APP	ios	7.8.1	572	2017-02-22
2	主APP	ios	7.8.2	2338	2017-02-22
2	主APP	ios	7.9.0	6709	2017-02-22
2	主APP	ios	7.9.2	10672	2017-02-22
2	主APP	ios	7.9.4	5286	2017-02-22
2	主APP	ios	7.9.6	4944	2017-02-22
2	主APP	ios	7.9.8	5717	2017-02-22
2	主APP	ios	8.0.0	3312	2017-02-22
2	主APP	ios	8.0.1	5531	2017-02-22
2	主APP	ios	8.0.2	4672	2017-02-22
2	主APP	ios	8.0.4	4346	2017-02-22
2	主APP	ios	8.0.5	9983	2017-02-22
2	主APP	ios	8.0.6	9632	2017-02-22
2	主APP	ios	8.0.8	16183	2017-02-22
2	主APP	ios	8.1.0	19813	2017-02-22
2	主APP	ios	8.1.2	31783	2017-02-22
2	主APP	ios	8.1.4	28408	2017-02-22
2	主APP	ios	8.1.6	25070	2017-02-22
2	主APP	ios	9.0.0	5990	2017-02-22
2	主APP	ios	9.0.1	266171	2017-02-22
2	主APP	ios	9.0.2	97567	2017-02-22
2	主APP	ios	9.0.4	40499	2017-02-22
2	主APP	ios	9.0.6	70397	2017-02-22
2	主APP	ios	9.0.8	53193	2017-02-22
2	主APP	ios	9.1.0	99118	2017-02-22
2	主APP	ios	9.1.10	0	2017-02-22
2	主APP	ios	9.1.2	561094	2017-02-22
2	主APP	ios	9.1.6	3646727	2017-02-22
2	主APP	ios	9.1.7	0	2017-02-22
2	主APP	ios	9.1.8	7	2017-02-22
2	主APP	ios	9.1.9	0	2017-02-22
2	主APP	ios	1.0.0	1	2017-02-24
2	主APP	ios	1.0.1	0	2017-02-24
2	主APP	ios	1.0.3	0	2017-02-24
2	主APP	ios	1.1.0	48	2017-02-24
